Titulo,Código,Autor,Assunto,Valor
Fetichismos Visuais - Corpos Erópticos e Metrópole Comunicacional,272,Massimo Canevacci,"Comunicação, Ilustrado","R$62,00"
"Ficção da Escrita, A",273,Cláudia Amigo Pino,"Crítica literária, Literatura, Criação","R$48,00"
Figurações do Oitocentos,274,Paulo Motta Oliveira,"Crítica literária, História, Teatro, Cultura, Estética","R$56,00"
Figuras do Feminino na Canção de Chico Buarque,275,Adélia Bezerra de Meneses,"Música, Poesia, Ilustrado","R$78,00"
"Filho do Crucificado, O",276,Nelson de Oliveira,"Literatura brasileira, Contos","R$42,00"
Filosofando com o Miró,277,Eduardo Etzel,"Memória, Literatura brasileira","R$45,00"
"Fluxo Silencioso das Máquinas, O",278,Bruno Zeni,"Literatura brasileira, Contos","R$38,00"
Fogos de Artifício: Flaubert e a Escritura,279,Verónica Galíndez-Jorge,"Crítica literária, Literatura estrangeira","R$42,00"
Fúria Azul - Antielegias,280,Carlos Nejar,"Literatura brasileira, Poesia","R$48,00"
"Forma do Livro, A - Ensaios sobre Tipografia e Estética do Livro",281,Jan Tschichold,"Design, Tipografia, Editoração, Livros sobre livros, Artes gráficas, Ilustrado","R$93,00"
Fotografia & História,282,Boris Kossoy,"Memória, História, Fotografia, Ilustrado","R$52,00"
Fragmentos do Narciso e Outros Poemas,283,"Paul Valéry, Júlio Castañon Guimarães","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$53,00"
Fragmentos do Sol Chuvoso,284,Lauro Henriques Jr.,"Literatura brasileira, Poesia","R$43,00"
"Franceses, Mais um Esforço se Quiserdes Ser Republicanos",285,Marquês de Sade,"Literatura estrangeira, Política, Sociologia e Sociedade","R$17,00"
Franklin Távora e o seu Tempo,286,Cláudio Aguiar,Biografia,"R$40,00"
Frei Galvão - Arquiteto,287,Benedito Lima de Toledo,"Memória, Arquitetura, Patrimônio Histórico, Ilustrado","R$40,00"
Freud - A Conquista do Proibido,288,Renato Mezan,Biografia,"R$30,00"
"Fronteiras Culturais - Brasil, Uruguai, Argentina",289,Maria Helena Martins,"Sociologia e Sociedade, Economia, Cultura","R$48,00"
Gérard de Nerval: A Escrita em Trânsito,290,Marta Kawano,"Crítica literária, Literatura estrangeira","R$45,00"
Gérard de Nerval: Cinquenta Poemas,291,"Mauro Gama, Gérard de Nerval","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$60,00"
Geórgicas,292,"Virgílio, Paulo Sergio de Vasconcellos, Odorico Mendes","Poesia, Bilíngue, Tradução, Odorico Mendes, Literatura clássica","R$98,00"
Gentíssima,293,Maria Ignez Corrêa da Costa Barbosa,"Memória, Entrevistas","R$52,00"
Geometrias de Cosmos,294,Rodrigo Suzuki Cintra,"Literatura, Poesia","R$49,50"
Geomorfologia do Sítio Urbano de São Paulo,295,Aziz Ab Sáber,"Geografia, Urbanismo, Ilustrado","R$47,00"
"Gil Vicente - O Velho da Horta, Auto da Barca do Inferno, Farsa de Inês Pereira (40a ed.)",296,Segismundo Spina,"Teatro, Literatura portuguesa, Literatura medieval, Ilustrado, Idade média, Cultura medieval","R$35,00"
Girassol Voltado para a Terra,297,Renato Tardivo,"Literatura brasileira, Contos, Ilustrado","R$44,00"
Goethe e Hackert - Sobre a Pintura de Paisagem,298,Claudia Valladão de Mattos,"Arte, Ilustração e pintura","R$35,00"
Gramática Integral da Língua Portuguesa,299,Antônio Suárez Abreu,"Comunicação, Escrita, Linguística","R$93,00"
"Grito de Jorge Andrade, O - A Experiência de um Autor na Telenovela Brasileira dos Anos 1970",300,Sabina Reggiani Anzuategui,"Cultura, Televisão","R$42,00"
"Guarani, O",301,"Eduardo Vieira Martins, José de Alencar","Literatura brasileira, Romance, Ilustrado","R$44,00"
"Guimarães Rosa - Fronteiras, Margens, Passagens",302,Marli Fantini Scarpelli,"Literatura brasileira, Crítica literária","R$65,00"
Gustavo Giovannoni - Textos Escolhidos,303,Beatriz Mugayar Kühl,"Arquitetura, Restauração","R$45,00"
Hannah Arendt & Karl Marx - O Mundo do Trabalho,304,Eugenia Sales Wagner,"Política, Sociologia e Sociedade, Economia","R$49,00"
Hannah Arendt - Ética e Política,305,Eugenia Sales Wagner,"Política, Sociologia e Sociedade","R$65,00"
"Hino Homérico a Apolo, O",306,Luiz Alberto Machado Cabral,"Crítica literária, Poesia, Mitologia, Bilíngue, Ilustrado","R$72,00"
Hipóteses de Amor,307,Annalisa Cima,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$76,00"
História da Língua Portuguesa,308,-,"Paleografia, História, Literatura, Linguística","R$98,00"
"História das Aventuras de Joseph Andrews e seu Amigo o Senhor Abraham Adams, A",309,Henry Fielding,"Romance, Literatura estrangeira, Ilustrado, Tradução","R$105,00"
História do PT,310,Lincoln Secco,"Ilustrado, Política, História, Sociologia e Sociedade","R$49,00"
Histórias de Banheiro,311,Dirce de Assis Cavalcanti,"Literatura brasileira, Contos","R$43,00"
Histórias em Imagens e Versos - Wilhelm Busch,312,"Guilherme de Almeida, Wilhelm Busch, Simone Homem de Mello","Tradução, Arte, Artes gráficas, Bilíngue, Humor, Ilustração e pintura, Ilustrado, Infantil","R$82,00"
Hong Kong & Outros Poemas,313,Antônio Moura,"Literatura brasileira, Poesia","R$26,00"
"Horizonte da Minha Pele, O",314,Emilio Bejel,"Romance, Literatura estrangeira, Biografia","R$51,00"
Ícaro,315,Gabriel Pedrosa,"Literatura brasileira, Poesia, Ilustrado","R$26,00"
"Idade da Aurora, A",316,Carlos Nejar,"Literatura brasileira, Poesia","R$75,00"
"Idade da Noite, A",317,Carlos Nejar,"Literatura brasileira, Poesia","R$79,00"
"Idade Média no Cinema, A",318,"José Rivair Macedo, Lênia Márcia Mongelli","História, Cinema, Idade média, Cultura medieval","R$45,00"
Idiotas & Demagogos - Pequeno Manual de Instruções da Democracia,319,Almyr Gajardoni,"Política, Sociologia e Sociedade","R$43,00"
Ilíada,320,"Odorico Mendes, Homero","Poesia, Literatura estrangeira, Mitologia, Literatura clássica, Ilustrado, Tradução, Odorico Mendes","R$120,00"
Ilhas Brasil,321,Carlos Vogt,"Literatura brasileira, Poesia","R$43,00"
"Ilustre Casa de Ramires, A",322,"Marise Hansen, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$43,50"
"Imagem Fria, A",323,Tales Ab'Sáber,"Cinema, Cultura","R$45,00"
Imagens do Poder em Sêneca,324,Marilena Vizentin,"Política, Sociologia e Sociedade, Economia","R$52,00"
Imigrantes Judeus do Oriente Médio - São Paulo e Rio de Janeiro,325,Rachel Mizrahi,"História, Judaísmo, Ilustrado","R$120,00"
"Imigrantes, Mascates e Doutores",326,Meir Kucinski,"Literatura brasileira, Contos, Judaísmo, Tradução","R$54,00"
"Imprensa Confiscada pelo DEOPS - 1924-1954, A",327,"Maria Luiza Tucci Carneiro, Boris Kossoy","Livros sobre livros, Política, Memória, História, Censura, Jornalismo, Ilustrado","R$116,00"
Índia - Além do Olhar,328,Marleine Paula Marcondes e Ferreira de Toledo,"Memória, Religião","R$35,00"
"Índios na Constituição, Os",329,"Camila Loureiro Dias, Artionka Capiberibe","Direito, Cidadania, História, Ilustrado, Sociologia e Sociedade, Política, Jornalismo, Ecologia","R$30,00"
Informação. Linguagem. Comunicação,330,Décio Pignatari,"Comunicação, Semiótica, Ilustrado","R$38,00"
Iniciação Boêmia & Textos Correlatos,331,"Nuno Fidelino de Figueiredo, Fidelino de Figueiredo","Memória, Crítica literária, História","R$41,00"
Inocência,332,"José de Paula Ramos Jr., Visconde de Taunay, Jefferson Cano","Ilustrado, Literatura brasileira, Romance","R$38,00"
Insólita Metrópole: São Paulo nas Crônicas de Paulo Bomfim,333,Ana Luiza Martins,"Literatura brasileira, Crônicas, História","R$84,00"
"Insubmissão e Outros Escritos, A",334,Liev Tolstói,"Literatura estrangeira, Política, Sociologia e Sociedade, Tradução","R$16,00"
"Intelecto em Ibn Sina (Avicena), O",335,Miguel Attie Filho,"Filosofia, Cultura árabe","R$56,00"
Interior Via Satélite,336,Marcos Siscar,"Literatura brasileira, Poesia, Ilustrado","R$52,00"
Interpretações: Crítica Literária e Psicanálise,337,"Cleusa Rios P. Passos, Yudith Rosenbaum","Crítica literária, Psicanálise e Psicologia","R$48,00"
"Intervalo Semântico, O",338,Carlos Vogt,"Semântica, Argumentação, Linguística","R$52,00"
"Intransitivos, Os",339,Cacá Moreira de Souza,"Literatura brasileira, Contos","R$53,00"
Introdução ao Estudo de Fernando Pessoa,340,Fernando Cabral Martins,"Crítica literária, História, Literatura portuguesa, Poesia","R$52,00"
Inula Niúla,341,Michel Sleiman,"Literatura brasileira, Poesia","R$43,00"
Iracema - Lenda do Ceará,342,"Leila Guenther, Paulo Franchetti, José de Alencar","Literatura brasileira, Romance, Ilustrado","R$38,00"
"Irrecusável Busca de Sentido, A",343,Scarlett Marton,"Filosofia, Biografia, Memória","R$52,00"
Jacques Derrida - Entreatos de Leitura e Literatura-,344,"Roberto Said, Luiz Fernando Ferreira Sá","Crítica literária, Literatura estrangeira, Filosofia","R$51,00"
Jogo de Palavras,345,Jacó Guinsburg,Poesia,"R$58,00"
Jogo de Ronda,346,Orlando Arruda,"Literatura brasileira, Contos","R$43,00"
"Jornada e a Clausura, A",347,Raquel de Almeida Prado,"Crítica literária, Literatura estrangeira","R$52,00"
Joyce Era Louco?,348,Donaldo Schüler,"Crítica literária, Psicanálise e Psicologia","R$50,00"
João Guimarães Rosa e a Saudade,349,Susana Lages,"Literatura brasileira, Crítica literária","R$42,00"
Judeus e Judaísmo na Obra de Lasar Segall,350,"Maria Luiza Tucci Carneiro, Celso Lafer","Arte, Ilustração e pintura, Sociologia e Sociedade, Judaísmo","R$120,00"
"Kafka/Foucault, sem Medos",351,Edson Passetti,"Crítica literária, Psicanálise e Psicologia, Filosofia","R$38,00"
Kalevala - Poema Primeiro,352,Elias Lönnrot,"Tradução, Mitologia, Poesia, Literatura estrangeira, Bilíngue","R$37,50"
Konstantinos Kaváfis - 60 Poemas,353,"Trajano Vieira, Konstantinos Kaváfis","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$39,00"
L'azur Blasé ou Ensaio do Fracasso sobre o Humor,354,Guilherme Gontijo Flores,Poesia,"R$44,90"
Lacraus,355,Miguel Jorge,"Literatura brasileira, Contos","R$51,00"
"Laetitia, sp",356,Gabriel Pedrosa,"Literatura brasileira, Poesia, Ilustrado","R$36,00"
Lei n. 12.343 de 2 de Dezembro de 2010,357,-,"Política, Economia, Cultura","R$38,00"
"Leitor Segundo G.H., O - Uma Análise do Romance A Paixão Segundo G.H. de Clarice Lispector",358,Emília Amaral,"Literatura brasileira, Crítica literária","R$48,00"
Leituras Desarquivadas,359,João Alexandre Barbosa,"Crítica literária, Literatura","R$56,00"
Leituras Imediatas,360,Jerusa Pires Ferreira,"Comunicação, Cordel, Crítica literária, Ilustrado, Literatura brasileira","R$33,00"
Leituras Indispensáveis,361,Aziz Ab Sáber,"Ecologia, Sociologia e Sociedade, Educação e Pedagogia, Cidadania","R$21,00"
Leituras Indispensáveis 2,362,Aziz Ab Sáber,"Educação e Pedagogia, Ecologia, Sociologia e Sociedade, Cidadania","R$23,00"
Lembranças de Esquecer,363,Camilo Guimarães,"Literatura brasileira, Poesia","R$29,80"
Leniza & Elis,364,"Ariovaldo José Vidal, Joaquim Alves de Aguiar","Crítica literária, Biografia","R$44,00"
Leopardo dos Olhos de Fogo,365,Carlos Eugênio Marcondes de Moura,"Ilustrado, Sociologia e Sociedade, Religião, Cultura","R$52,00"
Letras e Memória - Uma Breve História da Escrita,366,Adovaldo Fernandes Sampaio,"Livros sobre livros, Memória, História, Linguística, Escrita, Ilustrado","R$98,00"
"Leão, o Africano",367,Murilo Sebe Bon Meihy,"Cultura árabe, Cultura islâmica, História, Ilustrado","R$51,00"
Lições de Taxidermia,368,Fernando Antônio Dusi Rocha,"Literatura brasileira, Poesia","R$45,00"
Lições do Acaso,369,Luis Carlos de Menezes,"Literatura brasileira, Poesia","R$45,00"
"Lição Aproveitada, A - Modernismo e Cinema em Mário de Andrade",370,João Manuel dos Santos Cunha,"Arte, Crítica literária, Cinema","R$48,00"
Liberalismo e Natureza - A Propriedade em John Locke,371,Rodrigo Suzuki Cintra,"Economia, Filosofia, Direito","R$45,00"
Linguística Cognitiva - Uma Visão Geral e Aplicada,372,Antônio Suárez Abreu,"Comunicação, Semiótica, Linguística, Cognição","R$43,00"
Lira dos Vinte Anos,373,"Álvares de Azevedo, José Emílio Major Neto","Literatura brasileira, Poesia, Ilustrado","R$43,00"
Literatulogia,374,Janilto Andrade,"Teoria literária, Literatura","R$26,00"
"Literatura Comparada e Relações Comunitárias, Hoje",375,Benjamin Abdala Jr.,"Política, Literatura","R$50,00"
Literatura e Memória Política - Angola. Brasil. Moçambique. Portugal,376,"Benjamin Abdala Jr., Rejane Vecchia Rocha e Silva","Crítica literária, Literatura portuguesa, Política","R$52,00"
Literatura Grega: Irradiações,377,Donaldo Schüler,"História, Cultura grega, Literatura clássica, Filosofia","R$57,00"
"Literatura Portuguesa, A: Visões e Revisões",378,"Annie Gisele Fernandes, Francisco Maciel Silveira","Crítica literária, Literatura portuguesa","R$38,00"
"Literatura, História e Política (3a. ed.)",379,Benjamin Abdala Jr.,"Crítica literária, História, Literatura, Política","R$65,00"
Livro - Revista do NELE,380,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$33,00"
Livro 7/8 - revista do NELE,381,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Bibliofilia, Editoração, Ilustrado, Livros sobre livros","R$88,00"
Livro e Liberdade,382,Luciano Canfora,"Editoração, Livros sobre livros, Cultura","R$31,00"
Livro n. 6 - Revista do NELE,383,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Editoração, Ilustrado, Livrarias, Livros sobre livros","R$88,00"
Livro n.3 - Revista do NELE,384,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$53,00"
Livro n.4 - Revista do NELE,385,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Editoração, Livros sobre livros, Bibliofilia, Artes gráficas","R$55,00"
Livro n.5 - Revista do NELE,386,NELE - Núcleo de Estudos do Livro e da Edição/USP,"Artes gráficas, Bibliofilia, Editoração, Livros sobre livros","R$77,00"
"Livro no Jornal, O",387,Isabel Travancas,"Editoração, Jornalismo, Livros sobre livros, Ilustrado","R$42,00"
"Livro,",388,Michel Melot,"Editoração, Livros sobre livros","R$99,00"
Livros e Leituras na Espanha do Século de Ouro,389,Antonio Castillo Gómez,"Editoração, História, Livros sobre livros","R$49,00"
Livros e Subversão - Seis Estudos,390,Sandra Reimão,"Livros sobre livros, História, Comunicação, Política","R$52,00"
"Livros Proibidos, Ideias Malditas",391,Maria Luiza Tucci Carneiro,"Política, Ilustrado, História, Censura, Livros sobre livros","R$57,00"
"Livros, Editoras & Projetos",392,"Jerusa Pires Ferreira, Jacó Guinsburg, Plinio Martins Filho, Maria Otilia Bocchini","Livros sobre livros, Editoração","R$30,00"
Lodo,393,Luis Dolhnikoff,"Literatura brasileira, Poesia","R$62,00"
Lâmina do Tempo,394,Moacyr Godoy Moreira,"Literatura brasileira, Contos","R$37,50"
"Lâmpada da Memória, A",395,John Ruskin,"Arquitetura, Restauração","R$38,00"
Luci Collin - Antologia Poética (1984-2018),396,Luci Collin,Poesia,"R$39,90"
"Lugar, Tempo, Olhar - Arte Brasileira na França Românica",397,Anne Louyot,"Arte, Ilustração e pintura, Arquitetura, Bilíngue","R$75,00"
"Lusíadas, Os - Episódios",398,"Luís de Camões, Ivan Teixeira","Poesia, Literatura portuguesa, Ilustrado","R$39,00"
Machado e Rosa - Leituras Críticas,399,Marli Fantini Scarpelli,"Literatura brasileira, Crítica literária","R$85,00"
Macunaíma,400,Mário de Andrade,"Arte, Ilustrado, Literatura brasileira, Artes gráficas, Romance, Literatura","R$310,00"
"Maias, Os",401,Eça de Queirós,"Romance, Literatura portuguesa","R$83,00"
"Malavoglia, Os",402,Giovanni Verga,"Tradução, Romance, Literatura estrangeira","R$53,00"
"Males do Tabaco e Outras Peças em um Ato, Os",403,Anton Tchékhov,"Literatura estrangeira, Teatro, Tradução","R$34,00"
"Males do Tabaco, Os (3a. ed.)",404,Anton Tchékhov,"Humor, Literatura clássica, Literatura estrangeira, Teatro, Tradução","R$39,00"
"Malhas da Cultura 1, As",405,José Guilherme Pereira Leite,"Política, Economia, Cultura","R$43,00"
"Malhas da Cultura 2, As",406,José Guilherme Pereira Leite,"Política, Economia, Cultura","R$45,00"
"Manuais de Desenho da Escrita, Os",407,Maria Helena Werneck Bomeny,"Livros sobre livros, Design, Tipografia, Ilustrado","R$210,00"
Manual de Versificação Românica Medieval,408,Segismundo Spina,"Idade média, Crítica literária, Poesia, Literatura medieval","R$41,00"
Manual do Estilo Desconfiado,409,Fernando Paixão,"Teoria literária, Literatura brasileira, Crítica literária, Escrita","R$36,00"
Manuel Bandeira e a Música - com Três Poemas Visitados,410,Pedro Marques,"Música, Literatura brasileira, Crítica literária","R$42,00"
"Marca do Leviatã, A - Linguagem e Poder em Hobbes",411,Renato Janine Ribeiro,"Política, Filosofia","R$42,00"
Mariannita Luzzati,412,Gabriel Pérez Barreiro,"Arte, Ilustração e pintura","R$41,00"
"Marx, Zola e a Prosa Realista",413,Salete de Almeida Cara,"Crítica literária, Literatura estrangeira, Sociologia e Sociedade","R$46,00"
"MASSAO OHNO, Editor",414,"Massao Ohno, Jose Armando Pereira da Silva","Design, História, Editoração, Biografia, Ilustrado, Livros sobre livros, Artes gráficas","R$180,00"
"Matéria Lítica: Drummond, Cabral, Neruda e Paz",415,Mario Higa,"Poesia, Literatura, Crítica literária","R$52,00"
Matinas & Bagatelas,416,Maria do Carmo Campos,"Literatura brasileira, Poesia","R$49,00"
Matrizes Impressas do Oral: Conto Russo no Sertão,417,Jerusa Pires Ferreira,"Ilustrado, Livros sobre livros, Teoria literária, História, Literatura, Cordel","R$68,00"
Matzá com Moussaká - Histórias de Judeus e Gregos,418,Táki Athanássios Cordás,"Memória, História, Judaísmo, Cultura grega, Ilustrado","R$52,00"
"Máquina do Mundo Repensada, A",419,Haroldo de Campos,"Literatura brasileira, Poesia, Ilustrado","R$83,00"
"Máquina Peluda, A",420,Ademir Assunção,"Literatura brasileira, Contos","R$42,00"
"Mário, Otávio - Cartas de Mário de Andrade a Otávio Dias Leite",421,Marcos Antonio de Moraes,"Memória, Cultura","R$42,00"
Medeia,422,"Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides","Literatura clássica, Teatro, Bilíngue, Cultura grega, Tradução","R$42,00"
"Medicina de Os Lusíadas, A",423,Pedro Nava,"Crítica literária, Medicina e Saúde, Literatura portuguesa","R$32,00"
Meio Mundo,424,Álvaro Faleiros,"Literatura brasileira, Poesia, Ilustrado","R$28,00"
"Melancolias, Mercadorias: Dorival Caymmi, Chico Buarque, o Pregão de Rua e a Canção Popular-Comercial no Brasil",425,Walter Garcia,"Música, Crítica musical","R$56,00"
Melodrama - O Gênero e sua Permanência,426,Ivete Huppes,"Literatura estrangeira, Teatro","R$31,00"
Memória Futura,427,Paulo Franchetti,"Literatura brasileira, Poesia","R$35,00"
Memórias Biográficas de Pintores Extraordinários,428,William Beckford,"Arte, Memória","R$36,00"
Memórias de um Sargento de Milícias,429,"Mamede Mustafa Jarouche, Manuel Antônio de Almeida","Literatura brasileira, Romance, Ilustrado","R$42,00"
Memórias de uma Avó,430,Vavy Pacheco Borges,"Memória, Álbum interativo","R$70,00"
Memórias Póstumas de Brás Cubas,431,"Antonio Medina Rodrigues, Machado de Assis","Literatura brasileira, Romance, Ilustrado","R$39,00"
Memorial de Mogi das Cruzes,432,José Sebastião Witter,"Literatura brasileira, Crônicas","R$48,00"
Memorial de um Herege,433,Samuel Reibscheid,"Literatura brasileira, Romance","R$45,00"
Mensagem,434,"António Apolinário Lourenço, Fernando Pessoa","Poesia, Literatura portuguesa, Ilustrado","R$41,00"
Mercadorias e Futuro,435,José Paes de Lira (Lirovsky),"Literatura brasileira, Contos","R$28,50"
Meu Fausto (Esboços),436,Paul Valéry,"Literatura estrangeira, Teatro, Tradução","R$49,00"
Michelângelo - Cinquenta Poemas,437,"Mauro Gama, Michelângelo","Poesia, Literatura estrangeira, Bilíngue","R$54,00"
Milton Hatoum - Itinerário para um Certo Relato,438,Marleine Paula Marcondes e Ferreira de Toledo,"Literatura brasileira, Crítica literária","R$42,00"
"Mistério do Leão Rampante, O",439,Rodrigo Lacerda,"Humor, Literatura brasileira, Romance, Ilustrado","R$92,00"
Mistérios do Dicionário,440,João Alexandre Barbosa,"Crítica literária, Literatura","R$58,00"
Mito e Poética na Literatura Contemporânea - Um Estudo sobre José Saramago,441,Vera Bastazin,"Crítica literária, Literatura portuguesa","R$35,00"
"Modernização pelo Avesso - Impasses da Representação Literária em Os Contos de Belazarte, de Mário de Andrade",442,Wilson José Flores Jr.,"Literatura brasileira, Crítica literária, Estudos Literários","R$46,00"
"Moeda da Arte, A - A Dinâmica dos Campos Artístico e Econômico no Patrocínio",443,Eduardo Fragoaz,"Política, Economia, Cultura","R$69,50"
Morte aos Papagaios,444,Gustavo Piqueira,"Literatura brasileira, Design, Crônicas, Ilustrado","R$62,00"
Música do Parnaso,445,"Manuel Botelho de Oliveira, Ivan Teixeira","Crítica literária, Poesia, Literatura portuguesa, Fac-símile","R$115,00"
Muita Sorte & Pouco Juízo,446,José Roberto de Alencar,"Memória, Jornalismo, Ilustrado","R$36,00"
"Mulher no Escuro, A",447,Cláudia Vasconcellos,"Literatura brasileira, Contos, Teatro","R$42,00"
Mulheres de Passagem,448,M. A. Amaral Rezende,"Contos, Literatura","R$41,00"
Na Conquista do Brasil,449,Donaldo Schüler,"Literatura brasileira, Crítica literária","R$52,00"
Na Madrugada das Formas Poéticas,450,Segismundo Spina,"Idade média, Crítica literária, Poesia, Literatura medieval","R$36,00"
Na Pureza do Sacrilégio,451,Carlos Cardoso,Poesia,"R$58,00"
Na Senda das Noites: Os Quatro Talismãs de Charles Nodier e Les mille et une nuits,452,Christiane Damien,"Crítica literária, Literatura estrangeira, Cultura árabe","R$51,00"
Nações Literárias,453,Wander Melo Miranda,Crítica literária,"R$52,00"
Narciso em Sacrifício - A Poética de Mário de Sá-Carneiro,454,Fernando Paixão,"Crítica literária, Literatura portuguesa","R$48,00"
Nas Águas do Mesmo Rio,455,Giselda Leirner,"Literatura brasileira, Romance","R$38,00"
"Nas Tramas da Ficção - História, Literatura e Leitura",456,"Clóvis Gruner, Cláudio DeNipoti","Crítica literária, Literatura","R$52,00"
"Nebulosa, A",457,Joaquim Manuel de Macedo,"Poesia, Literatura brasileira, Ilustrado","R$39,80"
Neguinho,458,Guga Stroeter,"Literatura brasileira, Romance, Ilustrado","R$48,00"
Nós e as Palavras,459,Luís Bueno,"Crítica literária, Teoria literária, Literatura","R$62,00"
No Fim das Terras,460,Milton Torres,"Literatura brasileira, Poesia","R$76,00"
No Rastro de Afrodite - Plantas Afrodisíacas e Culinária,461,Gil Felippe,"Ilustrado, Gastronomia, Culinária, Botânica","R$90,00"
Noel Rosa - O Humor na Canção,462,Mayra Pinto,"Música, Crítica musical","R$39,00"
"Nome do Cuidado, O",463,"Leo Lama, Paulo Hersch Rosenbaum","Medicina e Saúde, Cinema, Ilustrado","R$38,00"
Normas Gerais para os Trabalhos de Grau,464,Segismundo Spina,"Comunicação, Escrita, Produção acadêmica","R$28,00"
Notícia Histórica da Vida e das Obras de José Haydn,465,J. Le Breton,"Tradução, Música, Memória","R$34,00"
Novas Tecnologias - EGC Arquitetura,466,Renato Schroeder,"Arquitetura, Ilustrado","R$25,00"
Nove Degraus para o Esquecimento,467,Aguinaldo Gonçalves,"Ilustrado, Literatura brasileira, Poesia","R$82,00"
"Novelas, Espelhos e um Pouco de Choro",468,Thelma Guedes,"Literatura brasileira, Contos","R$52,00"
"Noviço, O",469,"José de Paula Ramos Jr., Martins Pena","Literatura brasileira, Teatro, Ilustrado","R$28,50"
Novos Poemas,470,Carlos Vogt,"Poesia, Literatura","R$66,00"
O Azul e o Mar,471,"Paul Valéry, Eduardo de Campos Valadares","Bilíngue, Literatura estrangeira, Poesia, Tradução","R$56,00"
O Hóspede,472,Mario Higa,"Contos, Literatura brasileira","R$38,00"
O Língua,473,Eromar Bomfim,"Romance, Literatura","R$40,00"
O Pai - 6a edição,474,Dirce de Assis Cavalcanti,"Memória, Ilustrado, História, Biografia","R$48,00"
"O Que Aconteceu, Aconteceu",475,Jacó Guinsburg,"Literatura brasileira, Contos","R$45,00"
O Que É Comunicação Poética,476,Décio Pignatari,"Comunicação, Poesia, Ilustrado","R$36,00"
O Que É Um Livro?,477,João Adolfo Hansen,"Livros sobre livros, História, Editoração, Bibliofilia","R$32,00"
O Um,478,Bruno Verner,"Literatura brasileira, Poesia","R$48,00"
Octávio Brandão e as Matrizes Intelectuais do Marxismo no Brasil,479,Felipe Castilho de Lacerda,"Ilustrado, História, Sociologia e Sociedade, Política","R$45,00"
Olga Savary - Erotismo e Paixão,480,Marleine Paula Marcondes e Ferreira de Toledo,"Literatura brasileira, Crítica literária, Poesia","R$52,00"
Olhares Desatentos,481,Sérgio Sesiki,"Literatura brasileira, Poesia, Contos, Crônicas, Cultura, Ilustrado","R$42,00"
Olhares Plausíveis,482,Gregório Bacic,"Literatura brasileira, Contos","R$32,00"
"Olho Imóvel Pela Força da Harmonia, O",483,William Wordsworth,"Poesia, Literatura estrangeira, Bilíngue, Tradução","R$49,50"
"Olho Vesgo, O",484,Tiago Mussi,"Literatura brasileira, Contos","R$28,00"
Orestes,485,"Eurípides, Trupersa - Trupe de Tradução de Teatro Antigo","Tradução, Cultura grega, Teatro, Literatura clássica, Bilíngue","R$47,00"
Orlando Furioso - Tomo I,486,Ludovico Ariosto,"Cultura medieval, Idade média, Poesia, Bilíngue, Literatura clássica, Ilustrado, Tradução","R$138,00"
"Otelo Brasileiro de Machado de Assis, O",487,Helen Caldwell,"Tradução, Literatura brasileira, Crítica literária","R$58,00"
"Outra Guerra do Fim do Mundo, A",488,Osvaldo Coggiola,"Política, História, Sociologia e Sociedade, Ilustrado","R$48,00"
Outra Língua,489,Henryk Siewierski,"Literatura brasileira, Poesia","R$36,00"
"Outro Lado do Vento, O",490,Wassily Chuck,"Literatura brasileira, Poesia","R$46,00"
Ouvir o Som,491,Paulo Zuben,Música,"R$54,00"
País em Branco,492,Ricardo Rizzo,"Literatura brasileira, Poesia","R$36,00"
Pagu - Literatura e Revolução,493,Thelma Guedes,"Literatura brasileira, Crítica literária, Biografia","R$48,00"
"Pai de Max Bauer e Outros Contos, O",494,Marcos Rodrigues,"Literatura brasileira, Contos, Ilustrado","R$42,00"
Palavra e Rosto,495,Fernando Paixão,"Literatura brasileira, Poesia, Ilustrado","R$58,00"
Palavra e Sombra - Ensaios de Crítica,496,Arthur Nestrovski,"Literatura brasileira, Crítica literária, Literatura estrangeira","R$38,00"
Palmeirim de Inglaterra,497,"Francisco de Moraes, Lênia Márcia Mongelli","Ilustrado, Romance, Literatura, Idade média, Cultura medieval, Literatura medieval, Literatura portuguesa","R$199,00"
Papel-Jornal - Artigos de Jornalismo Cultural,498,Marcello Rollemberg,"Jornalismo, Cultura","R$36,00"
Paradeiro,499,Luís Bueno,"Literatura, Romance","R$52,00"
Paratextos Editoriais,500,Gérard Genette,"Editoração, Livros sobre livros","R$91,00"
Périplos,501,Simone Homem de Mello,"Literatura brasileira, Poesia","R$52,00"
Parsona,502,Adriano Scandolara,Poesia,"R$44,90"
